"Variable";"Contribucion_Dim1_Dim2";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5";"Dim.6";"Dim.7";"Dim.8";"Dim.9";"Dim.10";"Dim.11";"Dim.12";"Dim.13";"Dim.14";"Dim.15";"Dim.16";"Dim.17";"Dim.18";"Dim.19";"Dim.20";"Dim.21";"Dim.22";"Dim.23";"Dim.24";"Dim.25";"Dim.26";"Dim.27"
"Suma_Carencias";10,2452453347005;0,265433131790059;9,97981220291047;3,65656608033788;1,7073485166767;0,0685456771303374;3,6795977297731;0,129052852641933;1,75741145364279;0,712862284719655;0,299862997974403;0,0136825173593113;1,317086361422;0,0731436336580635;0,925313978534232;0,96712495115049;2,18196583316282;0,92950900629851;0,127559517816781;0,0111654194974771;0,135515241461734;0,0574420309054663;0,00134863996409098;5,58781936611197;0,000776786279189199;5,00803315211056;44,1139697675953;16,2920508690747
"Poblacion";9,99022788610713;2,76690019913846;7,22332768696866;1,94352519513971;0,688215801861352;1,91515566197463;1,91747928701432;0,0382542615220207;0,133658691872133;0,00287472647821519;3,19851476667803;5,38876687539655;2,60859272074747;0,000141571059716542;0,00333909497330177;0,0875768772968784;0,300490423244985;0,0789102957246733;0,412847635284996;0,139495657859611;0,373736060445666;1,89733160889207;0,621375765215566;1,73720810780297e-06;0,000230294193509261;1,73323471764713;15,2674436474545;51,2585787387077
"Hogar";9,95536422866621;6,26576342696181;3,6896008017044;0,0452970706244934;0,000490027774322602;0,0213736315852882;0,0155481276911796;0,655367397841678;0,0599276727346006;0,282593840992398;1,30781856683023;0,0686642389286649;2,79519990694307;0,0243799052609765;4,00660734740655;0,0800525004217853;1,5437156106184;0,481364979924945;0,84776496223411;0,566086304276735;0,0334110644691884;4,07956747037708;49,1641332522023;0,782586422106133;23,1826854700896;1,02632806736396e-28;3,72108924555058e-28;1,56000325495366e-28
"Pobreza_Carencia";9,38385373976845;1,89987380794551;7,48397993182294;4,45618359146082;2,57820034178052;1,20664149921912;0,999420775650366;0,107985085795714;2,44877290225561;2,95216189872687;0,40297360378804;3,58566152535611;0,338315439127253;0,975481021789569;0,492291946123075;0,156741594531787;1,76081595841724;0,32420169192774;0,138951600161694;0,0102282729877045;0,00381881618454013;0,771273640939047;1,41121690025103;65,46665804372;0,0281501100376613;1,37490521249578e-29;6,0465360536241e-30;3,00926553810506e-32
"Combustible_Cocinar_Leña";9,16850683835563;4,13460837018792;5,03389846816771;0,590464910166431;2,3081759338343;0,283948561783332;0,468804523356935;0,0770659282340788;2,47398731297993;0,0129330974913716;0,736788924843397;6,01991754876806;1,59526380008202;8,57428602871337;7,45793225559119;2,27968993105373;0,0192545885807979;4,12559341875747;8,6550409547311;1,77500155078098;12,1705029053121;1,8695769101511;3,90375010391939;0,16600773874461;25,2675062337686;9,75002034346038e-30;1,92592994438723e-32;6,93334779979405e-31
"Combustible_Cocinar";9,1013746794729;8,96088021717988;0,140494462293024;0,517867827565207;0,950628849292896;0,0615800727865358;0,137391204723126;0,43576261028242;0,823438259578802;0,0804722286761855;1,73052319258039;3,3714684087521;0,0243485806020707;3,95286763747449;0,452375522562721;1,61568064553025;0,5252314289541;3,25189677042322;2,18390696909835;0,200838741150302;6,68474992831299;0,0979944855444954;12,3213548678729;0,0111012095625995;51,467145879201;5,56593753927911e-30;5,24334427359425e-30;3,39734042189909e-29
"Carencia_Piso";8,94408851081015;2,74052814443733;6,20356036637282;1,19877931567792;0,266579369836106;0,0660798015222152;1,30951551024837;1,35377280996957;4,68774519002774;4,60561985030658;2,66289897342242;1,65951936608043;4,62827568369618;1,39339825589334;5,23224938991501;2,78893440266821;22,7813444970107;1,93470367040766;21,5426397011561;0,558633699925909;0,0176721837224578;0,279186866308298;3,27881058760443;0,94778850145074;0,0017105020146221;0,601757657963961;5,30066761232476;1,95762809003619
"De_6_11_Años";8,86711202922244;0,0183096087226195;8,84880242049982;7,06220019232043;0,446557138347229;0,109568238660089;0,554432133846041;4,01104364954394;0,220550158180682;0,148102819304281;1,27100979253451;3,50631890988329;0,205525995802076;0,0886825061248121;2,02057465334155;6,32444057819123e-05;1,03437918725316;0,15853308023323;12,9788637034428;51,2681714218577;2,68773308768806;0,279481644067626;0,793295294428554;0,00592795936897437;0,000670683941353212;0,0579241482766463;0,510233069206587;1,71304525871816
"Servicio_Electricidad";8,72525428588602;8,09410609257513;0,631148193310884;0,0626568382675664;0,154574297169938;0,217027217629624;0,240990743260765;3,82810534636643;0,169301675606073;0,0964445587816854;3,48322317839629;4,46282292725566;0,763107708084978;0,156610998978331;1,42050383209798;0,0939935458470741;0,270364549883529;0,86650841777744;6,44835433720405;4,04219890829492;0,00813483693130181;40,6283162767145;21,1509167175683;2,68370256924667;0,0268862327508496;1,73333694994851e-31;7,70371977754894e-32;4,93038065763133e-30
"Ingreso_Tasas_Municipales";8,67557819640983;6,08445304544098;2,59112515096885;0,696844593837802;0,224894629150319;5,25920574776399;4,86168745815051;0,0674796218773533;0,346248428911093;2,45211307983724;1,73032451815639;0,986750309174998;1,85242239704559;1,39499415246216;0,0641934206691119;1,03086038310334;9,17770339554514;4,09365592239603;4,81500717007296;1,25570878058852;0,732984148221261;0,0313311271924918;0,247200080869467;1,01840154576326e-05;0,00280225454947756;44,9024542420458;5,09754575795362;1,50992907639959e-29
